Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11970271,DataCracker-260,"2024-04-19 19:07:34",0.66257,1,"harunshimanto,muntakim1,sadnan0014,shaifulislam,tansifanzar"
2,11969100,"Big Data AI Data Science-222","2024-04-20 17:07:45",0.65232,1,fahimrafi37
3,11971579,ACI_CUDA_Error-334,"2024-04-22 00:36:42",0.63118,10,"fokhrulislam,mahfuzulkabirsourav,mahiiah,sawradipsaha,sknahin"
4,11968593,TEAM_QWERTY-174,"2024-04-20 23:48:49",0.62902,7,"asibrahman,niazmohaimanabtahi,sayeedsajjadrazin,umongsain"
5,11968913,"Data Dynamos-1055","2024-04-21 10:54:24",0.62672,3,"mhasanhimu,omorboshir,sajaldas19,sumonbanerjee"
6,11969531,Cos2PiC-241,"2024-04-21 15:37:14",0.61643,7,"kaimonmoy,mehdihassanakash,mostofasunan"
7,11971271,"Team Phoenix-420","2024-04-22 00:27:57",0.60402,10,"fabihabushra,johayraprithula,promitbasak,rusabsarmun,saidulkabir"
8,11973080,Machine_Mindset-785,"2024-04-21 18:18:52",0.60067,2,"mdahanafarifkhan,mdhasnainali,mfrsiam2011596642"
9,11975000,"KrustY Krab 2.0 - 729","2024-04-22 00:16:50",0.57897,11,"ash1971,bigppsmolheart,istiyaque6ty3,sakibbai"
10,11969597,ACI_ServerDown-322,"2024-04-21 20:07:00",0.57075,10,"hzihimel,sabbirhossainujjal,swapnilpanda,tahseenislamsajon"
11,11971944,Neu_robi_ology-728,"2024-04-22 01:36:05",0.56385,6,"aplycaebous,deeparghya,pdfarhad"
12,11968460,Phoenix-8,"2024-04-21 17:41:49",0.56100,11,"mabatin,mmashrukhzayed,munna1825,sakibhossain111"
13,11974812,"Tensor Titans-290","2024-04-21 19:48:52",0.55917,5,"alfesuny,fahimrayhan,rizveehassan,shafayat1777,tahzibealindo"
14,11976052,"The Big Bang Theory-606","2024-04-21 18:41:16",0.55912,13,"sabiqulhaquesusmoy,sharifulhasninesabuj"
15,11972267,YellowKing-836,"2024-04-21 21:07:33",0.55894,6,"abdurrafi08236,anwarulbashirshuaib,fahmidazim,salkhon050,tanjeemazwadzaman"
16,11972480,"Analytic Duo - 42","2024-04-21 21:31:52",0.55894,3,"areebamumtahina,miftahulzannat,mnrrabi"
17,11975240,"Stat Rebels-771","2024-04-21 22:08:40",0.55894,11,"ashrafulalamsust,ibrahimkholilrakib,joyantapaulpranta,mohammademon21,mohdakilibnealtaf"
18,11977730,"Team Statistics - 140","2024-04-20 13:43:10",0.55889,5,"alamshihab075,naimulhasan,shihabmostafa112"
19,11980892,"Data Vanguard-609","2024-04-20 00:22:59",0.55889,2,"mdsadmanhafiz,sagorkumarmitra,zummunira"
20,11969010,Team_abc-280,"2024-04-22 01:08:21",0.55889,12,"arafatshovon,salmansiam,taufikurrahmanfuad,wasif654"
21,11968716,Mavericks-974,"2024-04-21 22:21:08",0.55889,9,"faizulislam19095,rifatmuhtasim,siamarefin"
22,11974859,ML_Avengers-793,"2024-04-22 03:03:06",0.55889,10,"atiqueshahriar,faiyazrafid5,mahjabinkarimrashmi,nahidgtcian,shreyad28"
23,11970051,"BUET ByteBusters-233","2024-04-21 21:06:19",0.55889,8,"kazireyazulhasan,mubasshiramusarrat,nafiurahman,sadifahmed,wasifjalal"
24,11972737,ggwp-575,"2024-04-22 00:13:14",0.55889,7,"brainiac2677,risenfromashes,sadat999,shattikislam,tahmid404"
25,11972566,You_Only_Love_Once-451,"2024-04-21 03:32:35",0.55884,6,"aaniksahaa,almuhitmuhtadi,amimulehsan1,selen0phile"
26,11971947,Not_Strong_Enough-1124,"2024-04-22 03:23:47",0.55884,12,"elin75,farjanamayeesha,minannu,tanbeerjubaer"
27,11968948,"ML Hunters-479","2024-04-21 20:39:44",0.55884,2,"anamulhoqueemtiaj,hossainzarif,mdnabilsadique,nurhossainraton,rhasanr"
28,11968535,"Teamed Up - 626","2024-04-22 00:30:06",0.55880,5,"mdarafatbinamindrubo,sajidahmedchowdhury,shojeb"
29,11969764,"Kibi Dango-356","2024-04-22 03:49:37",0.55861,10,"asifmhossain,bishalsarker,candidpintail,eraf99,urmisen1202"
30,11972563,Phantom-240,"2024-04-22 02:04:38",0.54915,10,"mdzisun,shubailhaqueturza,urparvezali"
31,11974849,"Data Diggers","2024-04-20 17:43:02",0.54823,3,"abdullahshafi315,ashifurrahman34,rajaul22"
